Removed Member From Class: ClassName=U_DK_MOTO Member=R20
Removed Member From Class: ClassName=U_DK_MOTO Member=R21
Removed Member From Class: ClassName=U_DK_GU600E_V10 Member=R25
Removed Member From Class: ClassName=U_DK_MOTO Member=U2
Change Component Footprint: Designator=P3 Old Footprint=HDR1X2 New Footprint=HEAD2L-0.8
Added Member To Class: ClassName=U_DK_POWER Member=Component D1 1N4148WST4
Added Member To Class: ClassName=U_DK_GU600E_V10 Member=Component D2 LED GREEN
Added Member To Class: ClassName=U_DK_STM32L151 Member=Component P1 SWD
Added Member To Class: ClassName=U_DK_STM32L151 Member=Component P2 UART1
Added Member To Class: ClassName=U_DK_POWER Member=Component P3 BATT
Added Member To Class: ClassName=U_DK_MOTO Member=Component P4 MOTOR
Added Member To Class: ClassName=U_DK_MOTO Member=Component P5 L_OFF
Added Member To Class: ClassName=U_DK_MOTO Member=Component P6 L_ON
Added Member To Class: ClassName=U_DK_MOTO Member=Component P7 BELL
Added Member To Class: ClassName=U_DK_MOTO Member=Component R22 Res2
Added Member To Class: ClassName=U_DK_MOTO Member=Component R23 Res2
Added Member To Class: ClassName=U_DK_GU600E_V10 Member=Component R27 Res2
Added Member To Class: ClassName=U_DK_MOTO Member=Component U4 MOTO
